route_id,order,station,country
транзит _Unnamed: 2,1,КЗХ (Казахстан),nan
транзит _Unnamed: 2,2,КЗХ (Казахстан),nan
транзит _Unnamed: 2,3,КЗХ (Казахстан),nan
транзит _Unnamed: 2,4,КЗХ (Казахстан),nan
транзит _Unnamed: 2,5,КЗХ (Казахстан),nan
транзит _Unnamed: 2,6,КЗХ (Казахстан),nan
транзит _Unnamed: 2,7,КЗХ (Казахстан),nan
транзит _Unnamed: 2,8,КЗХ (Казахстан),nan
транзит _Unnamed: 2,9,КЗХ (Казахстан),nan
транзит _Unnamed: 2,10,КЗХ (Казахстан),nan
транзит _Unnamed: 2,11,КЗХ (Казахстан),nan
транзит _Unnamed: 2,12,КЗХ (Казахстан),nan
транзит _Unnamed: 2,13,КЗХ (Казахстан),nan
транзит _Unnamed: 2,14,КЗХ (Казахстан),nan
транзит _Unnamed: 2,15,КЗХ (Казахстан),nan
транзит _Unnamed: 2,16,КЗХ (Казахстан),nan
транзит _Unnamed: 2,17,КЗХ (Казахстан),nan
транзит _Unnamed: 2,18,КЗХ (Казахстан),nan
транзит _Unnamed: 2,19,КЗХ (Казахстан),nan
транзит _Unnamed: 2,20,КЗХ (Казахстан),nan
транзит _Unnamed: 2,21,КЗХ (Казахстан),nan
транзит _Unnamed: 2,22,КЗХ (Казахстан),nan
транзит _Unnamed: 2,23,КЗХ (Казахстан),nan
транзит _Unnamed: 2,24,КЗХ (Казахстан),nan
транзит _Unnamed: 2,25,КЗХ (Казахстан),nan
транзит _Unnamed: 2,26,КЗХ (Казахстан),nan
транзит _Unnamed: 2,27,КЗХ (Казахстан),nan
транзит _Unnamed: 2,28,КЗХ (Казахстан),nan
транзит _Unnamed: 2,29,КЗХ (Казахстан),nan
транзит _Unnamed: 2,30,КЗХ (Казахстан),nan
транзит _Unnamed: 2,31,КЗХ (Казахстан),nan
транзит _Unnamed: 2,32,КЗХ (Казахстан),nan
транзит _Unnamed: 2,33,КЗХ (Казахстан),nan
транзит _Unnamed: 2,34,КЗХ (Казахстан),nan
транзит _Unnamed: 2,35,КЗХ (Казахстан),nan
транзит _Unnamed: 2,36,КЗХ (Казахстан),nan
транзит _Unnamed: 2,37,КЗХ (Казахстан),nan
транзит _Unnamed: 2,38,КЗХ (Казахстан),nan
транзит _Unnamed: 2,39,КЗХ (Казахстан),nan
транзит _Unnamed: 2,40,ЮУР (Россия),nan
транзит _Unnamed: 2,41,ЮУР (Россия),nan
транзит _Unnamed: 2,42,ЮУР (Россия),nan
транзит _Unnamed: 2,43,ЮУР (Россия),nan
транзит _Unnamed: 2,44,ЮУР (Россия),nan
транзит _Unnamed: 2,45,ЮУР (Россия),nan
транзит _Unnamed: 2,46,ЮУР (Россия),nan
транзит _Unnamed: 2,47,ЮУР (Россия),nan
транзит _Unnamed: 2,48,ЮУР (Россия),nan
транзит _Unnamed: 2,49,ЮУР (Россия),nan
транзит _Unnamed: 2,50,ЮУР (Россия),nan
транзит _Unnamed: 2,51,ЮУР (Россия),nan
транзит _Unnamed: 2,52,ЮУР (Россия),nan
транзит _Unnamed: 2,53,ЮУР (Россия),nan
транзит _Unnamed: 2,54,ЮУР (Россия),nan
транзит _Unnamed: 2,55,ЮУР (Россия),nan
транзит _Unnamed: 2,56,ЮУР (Россия),nan
транзит _Unnamed: 2,57,ЮУР (Россия),nan
транзит _Unnamed: 2,58,ЮУР (Россия),nan
транзит _Unnamed: 2,59,ЮУР (Россия),nan
транзит _Unnamed: 2,60,ЮУР (Россия),nan
транзит _Unnamed: 2,61,ЮУР (Россия),nan
транзит _Unnamed: 2,62,ЮУР (Россия),nan
транзит _Unnamed: 2,63,ЮУР (Россия),nan
транзит _Unnamed: 2,64,ЮУР (Россия),nan
транзит _Unnamed: 2,65,ЮУР (Россия),nan
транзит _Unnamed: 2,66,ЮУР (Россия),nan
транзит _Unnamed: 2,67,ЮУР (Россия),nan
транзит _Unnamed: 2,68,ЮУР (Россия),nan
транзит _Unnamed: 2,69,ЮУР (Россия),nan
транзит _Unnamed: 2,70,ЮУР (Россия),nan
транзит _Unnamed: 2,71,ЮУР (Россия),nan
транзит _Unnamed: 2,72,ЮУР (Россия),nan
транзит _Unnamed: 2,73,ЮУР (Россия),nan
транзит _Unnamed: 2,74,ЮУР (Россия),nan
транзит _Unnamed: 2,75,ЮУР (Россия),nan
транзит _Unnamed: 2,76,ЮУР (Россия),nan
транзит _Unnamed: 2,77,ЮУР (Россия),nan
транзит _Unnamed: 2,78,ЮУР (Россия),nan
транзит _Unnamed: 2,79,ЮУР (Россия),nan
транзит _Unnamed: 2,80,ЮУР (Россия),nan
транзит _Unnamed: 2,81,ЮУР (Россия),nan
транзит _Unnamed: 2,82,ЮУР (Россия),nan
транзит _Unnamed: 2,83,ЮУР (Россия),nan
транзит _Unnamed: 2,84,ЮУР (Россия),nan
транзит _Unnamed: 2,85,ЮУР (Россия),nan
транзит _Unnamed: 2,86,ЮУР (Россия),nan
транзит _Unnamed: 2,87,ЮУР (Россия),nan
транзит _Unnamed: 2,88,ЮУР (Россия),nan
транзит _Unnamed: 2,89,ЮУР (Россия),nan
транзит _Unnamed: 2,90,ЮУР (Россия),nan
транзит _Unnamed: 2,91,ЮУР (Россия),nan
транзит _Unnamed: 2,92,ЮУР (Россия),nan
транзит _Unnamed: 2,93,ЮУР (Россия),nan
транзит _Unnamed: 2,94,ЮУР (Россия),nan
транзит _Unnamed: 2,95,ЮУР (Россия),nan
транзит _Unnamed: 2,96,ЮУР (Россия),nan
транзит _Unnamed: 2,97,КБШ (Россия),nan
транзит _Unnamed: 2,98,КБШ (Россия),nan
транзит _Unnamed: 2,99,КБШ (Россия),nan
транзит _Unnamed: 2,100,КБШ (Россия),nan
транзит _Unnamed: 2,101,КБШ (Россия),nan
транзит _Unnamed: 2,102,КБШ (Россия),nan
транзит _Unnamed: 2,103,КБШ (Россия),nan
транзит _Unnamed: 2,104,КБШ (Россия),nan
транзит _Unnamed: 2,105,КБШ (Россия),nan
транзит _Unnamed: 2,106,КБШ (Россия),nan
транзит _Unnamed: 2,107,КБШ (Россия),nan
транзит _Unnamed: 2,108,КБШ (Россия),nan
транзит _Unnamed: 2,109,КБШ (Россия),nan
транзит _Unnamed: 2,110,КБШ (Россия),nan
транзит _Unnamed: 2,111,КБШ (Россия),nan
транзит _Unnamed: 2,112,КБШ (Россия),nan
транзит _Unnamed: 2,113,КБШ (Россия),nan
транзит _Unnamed: 2,114,КБШ (Россия),nan
транзит _Unnamed: 2,115,КБШ (Россия),nan
транзит _Unnamed: 2,116,КБШ (Россия),nan
транзит _Unnamed: 2,117,КБШ (Россия),nan
транзит _Unnamed: 2,118,КБШ (Россия),nan
транзит _Unnamed: 2,119,КБШ (Россия),nan
транзит _Unnamed: 2,120,КБШ (Россия),nan
транзит _Unnamed: 2,121,КБШ (Россия),nan
транзит _Unnamed: 2,122,КБШ (Россия),nan
транзит _Unnamed: 2,123,МСК (Россия),nan
транзит _Unnamed: 2,124,МСК (Россия),nan
транзит _Unnamed: 2,125,МСК (Россия),nan
транзит _Unnamed: 2,126,МСК (Россия),nan
транзит _Unnamed: 2,127,МСК (Россия),nan
транзит _Unnamed: 2,128,МСК (Россия),nan
транзит _Unnamed: 2,129,МСК (Россия),nan
транзит _Unnamed: 2,130,МСК (Россия),nan
транзит _Unnamed: 2,131,МСК (Россия),nan
транзит _Unnamed: 2,132,МСК (Россия),nan
транзит _Unnamed: 2,133,МСК (Россия),nan
транзит _Unnamed: 2,134,МСК (Россия),nan
транзит _Unnamed: 2,135,МСК (Россия),nan
транзит _Unnamed: 2,136,МСК (Россия),nan
транзит _Unnamed: 2,137,МСК (Россия),nan
транзит _Unnamed: 2,138,МСК (Россия),nan
транзит _Unnamed: 2,139,МСК (Россия),nan
транзит _Unnamed: 2,140,МСК (Россия),nan
транзит _Unnamed: 2,141,БЕЛ (Белоруссия),nan
транзит _Unnamed: 2,142,БЕЛ (Белоруссия),nan
транзит _Unnamed: 2,143,БЕЛ (Белоруссия),nan
транзит _Unnamed: 2,144,БЕЛ (Белоруссия),nan
транзит _Unnamed: 2,145,БЕЛ (Белоруссия),nan
транзит _Unnamed: 2,146,БЕЛ (Белоруссия),nan
транзит _Unnamed: 2,147,БЕЛ (Белоруссия),nan
транзит _Unnamed: 2,148,БЕЛ (Белоруссия),nan
транзит _Unnamed: 2,149,БЕЛ (Белоруссия),nan
транзит _Unnamed: 2,150,БЕЛ (Белоруссия),nan
транзит _Unnamed: 2,151,БЕЛ (Белоруссия),nan
транзит _Unnamed: 2,152,БЕЛ (Белоруссия),nan
транзит _Unnamed: 2,153,БЕЛ (Белоруссия),nan
транзит _Unnamed: 4,1,EB транзит Достык,nan
транзит _Unnamed: 4,2,Брест-северный,БЕЛ (Белоруссия)
транзит _Unnamed: 4,3,Брест-восточный,БЕЛ (Белоруссия)
транзит _Unnamed: 4,4,Жабинка,БЕЛ (Белоруссия)
транзит _Unnamed: 4,5,Оранчицы,БЕЛ (Белоруссия)
транзит _Unnamed: 4,6,Береза Картузская,БЕЛ (Белоруссия)
транзит _Unnamed: 4,7,Бронная гора,БЕЛ (Белоруссия)
транзит _Unnamed: 4,8,Ивацевичи,БЕЛ (Белоруссия)
транзит _Unnamed: 4,9,Доманово,БЕЛ (Белоруссия)
транзит _Unnamed: 4,10,Лесная-стык,БЕЛ (Белоруссия)
транзит _Unnamed: 4,11,Барановичи-центральные,БЕЛ (Белоруссия)
транзит _Unnamed: 4,12,Негорелое-стык,БЕЛ (Белоруссия)
транзит _Unnamed: 4,13,Минск-сортировочный,БЕЛ (Белоруссия)
транзит _Unnamed: 4,14,Степянка,БЕЛ (Белоруссия)
транзит _Unnamed: 4,15,Борисов,БЕЛ (Белоруссия)
транзит _Unnamed: 4,16,Гусино,МСК (Россия)
транзит _Unnamed: 4,17,Гнездово,МСК (Россия)
транзит _Unnamed: 4,18,Смоленск,МСК (Россия)
транзит _Unnamed: 4,19,Смоленск-сортировочный,МСК (Россия)
транзит _Unnamed: 4,20,Духовская,МСК (Россия)
транзит _Unnamed: 4,21,Кардымово,МСК (Россия)
транзит _Unnamed: 4,22,Ярцево,МСК (Россия)
транзит _Unnamed: 4,23,Милохово,МСК (Россия)
транзит _Unnamed: 4,24,Сафоново,МСК (Россия)
транзит _Unnamed: 4,25,Издешково,МСК (Россия)
транзит _Unnamed: 4,26,Вязьма,МСК (Россия)
транзит _Unnamed: 4,27,Туманово,МСК (Россия)
транзит _Unnamed: 4,28,Можайск,МСК (Россия)
транзит _Unnamed: 4,29,Дорохово,МСК (Россия)
транзит _Unnamed: 4,30,Тучково,МСК (Россия)
транзит _Unnamed: 4,31,Кубинка I,МСК (Россия)
транзит _Unnamed: 4,32,214 КМ,МСК (Россия)
транзит _Unnamed: 4,33,Пожитково,МСК (Россия)
транзит _Unnamed: 4,34,Бекасово I,МСК (Россия)
транзит _Unnamed: 4,35,Бекасово-сортировочное,МСК (Россия)
транзит _Unnamed: 4,36,Кресты,МСК (Россия)
транзит _Unnamed: 4,37,Сандарово,МСК (Россия)
транзит _Unnamed: 4,38,Детково,МСК (Россия)
транзит _Unnamed: 4,39,Ступино,МСК (Россия)
транзит _Unnamed: 4,40,Ожерелье,МСК (Россия)
транзит _Unnamed: 4,41,Пурлово,МСК (Россия)
транзит _Unnamed: 4,42,Богатищево,МСК (Россия)
транзит _Unnamed: 4,43,Узуново,МСК (Россия)
транзит _Unnamed: 4,44,Рыбное,МСК (Россия)
транзит _Unnamed: 4,45,Дягилево,МСК (Россия)
транзит _Unnamed: 4,46,Рязань I,МСК (Россия)
транзит _Unnamed: 4,47,Лесок,МСК (Россия)
транзит _Unnamed: 4,48,Листвянка,МСК (Россия)
транзит _Unnamed: 4,49,Перевлес,МСК (Россия)
транзит _Unnamed: 4,50,Проня,МСК (Россия)
транзит _Unnamed: 4,51,Новая Пустынь,МСК (Россия)
транзит _Unnamed: 4,52,Шелухово,МСК (Россия)
транзит _Unnamed: 4,53,Шилово,МСК (Россия)
транзит _Unnamed: 4,54,Ушинский,МСК (Россия)
транзит _Unnamed: 4,55,Назаровка,МСК (Россия)
транзит _Unnamed: 4,56,Чучково,МСК (Россия)
транзит _Unnamed: 4,57,Сотницыно,МСК (Россия)
транзит _Unnamed: 4,58,Сасово,МСК (Россия)
транзит _Unnamed: 4,59,Берестянки,МСК (Россия)
транзит _Unnamed: 4,60,Пичкиряево,МСК (Россия)
транзит _Unnamed: 4,61,Потьма,МСК (Россия)
транзит _Unnamed: 4,62,Пишля (обп),МСК (Россия)
транзит _Unnamed: 4,63,Рузаевка,МСК (Россия)
транзит _Unnamed: 4,64,Зыково (обп),МСК (Россия)
транзит _Unnamed: 4,65,Сура,МСК (Россия)
транзит _Unnamed: 4,66,Инза,МСК (Россия)
транзит _Unnamed: 4,67,Новообразцовое,МСК (Россия)
транзит _Unnamed: 4,68,Сызрань II,МСК (Россия)
транзит _Unnamed: 4,69,Сызрань I,МСК (Россия)
транзит _Unnamed: 4,70,Правая волга,КБШ (Россия)
транзит _Unnamed: 4,71,Безенчук,КБШ (Россия)
транзит _Unnamed: 4,72,Новокуйбышевская,КБШ (Россия)
