Станция,широта,долгота,Страна,source
Достык (эксп.),45.256062,82.492783,КЗХ (Казахстан),station
Кардымово,54.8898976,32.435973,МСК (Россия),station
Духовская,54.798306,32.289936,МСК (Россия),station
Смоленск-сортировочный,54.8108278,32.1241352,МСК (Россия),station
Гусино,56.0943203,29.2430608,МСК (Россия),station
Борисов,51.0527944,36.8476783,БЕЛ (Белоруссия),station
Алтынколь (эксп.),44.1647635,80.2952521,КЗХ (Казахстан),station
Бурундай,43.3584693,76.8590468,КЗХ (Казахстан),station
Кызгалдакты,50.3971989,57.0688585,КЗХ (Казахстан),station
Непецино,55.2006405,38.6079795,МСК (Россия),station
Шиферная,55.2831279,38.7364654,МСК (Россия),station
Ярцево,55.0662279,32.6883609,МСК (Россия),station
Пески,59.803604,39.087681,МСК (Россия),station
Щурово,52.0812346,36.3453623,МСК (Россия),station
Луховицы,54.9655573,39.0277188,МСК (Россия),station
Подлипки,55.9190049,37.8150443,МСК (Россия),station
Фруктовая,54.9148794,39.254995,МСК (Россия),station
Алпатьево,54.8816833,39.3231799,МСК (Россия),station
Дивово,54.7941174,39.4278691,МСК (Россия),station
Пичкиряево,54.202644,42.456608,КБШ (Россия),station
Потьма,54.1164028,42.9051557,КБШ (Россия),station
Пишля (обп),54.063457,44.8985904,КБШ (Россия),station
Рузаевка,54.058735,44.954391,КБШ (Россия),station
Голутвин,55.0861808,38.8052754,МСК (Россия),station
Милохово,55.0691781,32.7824283,МСК (Россия),station
Сафоново,55.1084278,33.2376513,МСК (Россия),station
Издешково,55.143578,33.621201,МСК (Россия),station
Детково,56.6412877,29.4314325,МСК (Россия),station
Сандарово,55.250178,37.4484938,МСК (Россия),station
Кресты,59.953883,30.3643384,МСК (Россия),station
Бекасово-сортировочное,55.4186086,36.8716977,МСК (Россия),station
Бекасово I,55.4296452,36.8401684,МСК (Россия),station
Пожитково,55.4203792,36.8186016,МСК (Россия),station
214 КМ,55.5369689,36.6648197,МСК (Россия),station
Кубинка I,55.5791251,36.690883,МСК (Россия),station
Тучково,55.6014428,36.4662973,МСК (Россия),station
Дорохово,56.418461,35.0738481,МСК (Россия),station
Туманово,48.7248469,142.8352947,МСК (Россия),station
Мещерская,55.666803,37.4246099,МСК (Россия),station
Вязьма,55.2103563,34.2995187,МСК (Россия),station
Зыково (обп),55.9993381,42.3766766,КБШ (Россия),station
Рыбное,54.730757,39.5056425,МСК (Россия),station
Инза,53.8579402,46.3573236,КБШ (Россия),station
Сызрань II,53.1675288,48.4386568,КБШ (Россия),station
Шу,44.2584804,73.0064021,КЗХ (Казахстан),station
Отар,43.5361304,75.2160251,КЗХ (Казахстан),station
Алматы 1,43.3414234,76.9492178,КЗХ (Казахстан),station
Жетыген,44.9888406,78.4061319,КЗХ (Казахстан),station
Шелек,43.0734948,78.3754413,КЗХ (Казахстан),station
Алтынколь,44.1647635,80.2952521,КЗХ (Казахстан),station
Разъезд № 8,44.2939195,53.3804768,КЗХ (Казахстан),station
Актогай-Восточный (рзд),46.9006312,79.6925758,КЗХ (Казахстан),station
Карабас,55.4885688,60.2028784,ЮУР (Россия),station
Нура,54.0283242,58.3393347,ЮУР (Россия),station
Турксиб,42.8292785,71.3999223,КЗХ (Казахстан),station
Сороковая,59.5474781,55.8093141,ЮУР (Россия),station
Оп № 86,53.2059214,34.5896112,ЮУР (Россия),station
Перекатная,64.9428754,-173.2172685,ЮУР (Россия),station
Есиль,42.1368418,46.1712415,ЮУР (Россия),station
Ковыльная I,53.9042504,91.1875726,ЮУР (Россия),station
Орша-центральная,56.9118261,36.2258988,БЕЛ (Белоруссия),station
Притобольская,51.4469008,61.1583283,ЮУР (Россия),station
Тобол,54.9822425,64.9867064,ЮУР (Россия),station
Баталы,54.924824,34.592609,ЮУР (Россия),station
Никель,69.4062217,30.2114216,ЮУР (Россия),station
Сакмарская,51.95453,55.3696688,КБШ (Россия),station
Астана-1,43.0441677,44.6296702,ЮУР (Россия),station
Тараз,42.8774419,71.3515681,КЗХ (Казахстан),station
Тюлькубас,42.488754,70.286255,КЗХ (Казахстан),station
Шымкент,42.2944108,69.6380923,КЗХ (Казахстан),station
Сызрань I,53.170231,48.4820428,КБШ (Россия),station
Безымянка,54.9083623,20.5055934,КБШ (Россия),station
Кинель,53.219738,50.633228,КБШ (Россия),station
Меновой Двор,51.7071949,55.027801,ЮУР (Россия),station
Канисай (рзд),51.2141697,54.9094261,ЮУР (Россия),station
Жайсан,47.987953,84.0454962,КЗХ (Казахстан),station
Актобе I,50.3003589,57.1545752,КЗХ (Казахстан),station
Кандыагаш,49.4718361,57.4224647,КЗХ (Казахстан),station
Жем,48.5083642,57.4452184,КЗХ (Казахстан),station
Шалкар,47.8273018,59.6159216,КЗХ (Казахстан),station
Сексеул,47.0840304,61.1544583,КЗХ (Казахстан),station
Казалы,45.76255,62.101181,КЗХ (Казахстан),station
Жосалы,45.484024,64.0849,КЗХ (Казахстан),station
Кызылтам,45.31596,64.345993,КЗХ (Казахстан),station
Каракеткен,45.1913039,64.5142304,КЗХ (Казахстан),station
Жалагаш,43.0419275,78.6428335,КЗХ (Казахстан),station
Теренозек,42.979687,72.068489,КЗХ (Казахстан),station
Караозек,53.662659,69.064835,КЗХ (Казахстан),station
Кызылорда,44.8426778,65.5036151,КЗХ (Казахстан),station
Шиели,52.674191,70.440704,КЗХ (Казахстан),station
Туркестан,43.3019457,68.2703698,КЗХ (Казахстан),station
